AMDewptCalPl,ScenRelAMIns,CombMoisture,SynForcng,WindFieldPln,ScenRel3_4,R5Fcst,ScnRelPlFcst,RaoContMoist,CapChange,CombClouds,AMInstabMt,MvmtFeatures,PlainsFcst,WindAloft,LowLLapse,Boundaries,InsSclInScen,AreaMoDryAir,AreaMeso_ALS,SubjVertMo,N34StarFcst,MorningBound,MountainFcst,CapInScen,ScenRelAMCIN,InsInMt,MeanRH,SfcWndShfDis,IRCloudCover,TempDis,VISCloudCov,InsChange,SatContMoist,QGVertMotion,CombVerMo,WndHodograph,MidLLapse,CompPlFcst,LLIW,Date,LIfr12ZDENSd,N0_7muVerMo,MorningCIN,CldShadeConv,LatestCIN,RHRatio,LoLevMoistAd,AMInsWliScen,OutflowFrMt,Dewpoints,CldShadeOth,WindFieldMt,CurPropConv,AMCINInScen,Scenario
Instability,CDEJ,Neutral,NegToPos,SEQuad,ACEFK,SVR,E,Dry,Increasing,Clear,Strong,MarkedUpper,XNIL,SWQuad,CloseToDryAd,Weak,MoreUnstable,Neutral,WeakUp,Neutral,XNIL,None,SVR,MoreThanAve,CThruK,Strong,Dry,DryLine,Clear,None,Clear,Increasing,VeryWet,Neutral,WeakUp,Westerly,ModerateOrLe,IncCapDecIns,Weak,Jul16_Aug10,N5GtLIGt_8,StrongUp,PartInhibit,None,PartInhibit,Other,WeakPos,MoreUnstable,Strong,LowMtsHighPl,Clear,LVorOther,None,Average,E
Neutral,G,Neutral,LittleChange,LongAnticyc,GJ,SIG,G,Neutral,Decreasing,PC,Strong,StrongFront,SIG,LV,CloseToDryAd,Strong,MoreUnstable,Neutral,Neutral,StronUp,SIG,Weak,SIG,MoreThanAve,CThruK,Strong,Dry,None,Clear,None,PC,Decreasing,Wet,Neutral,Neutral,Westerly,Steep,DecCapIncIns,Strong,Jul16_Aug10,N1GtLIGt_4,Down,TotalInhibit,Some,None,Other,Negative,MoreUnstable,Strong,LowSHighN,PC,Westerly,Strong,MoreThanAve,G
Stability,ABI,Wet,NegToPos,DenvCyclone,B,SIG,B,Neutral,Decreasing,Clear,Weak,OtherRapid,SIG,AllElse,ModerateOrLe,Strong,LessUnstable,Wet,Neutral,Neutral,SIG,Weak,SIG,LessThanAve,AB,Strong,Dry,DenvCyclone,Clear,None,PC,LittleChange,Neutral,StrongUp,Neutral,DCVZFavor,ModerateOrLe,DecCapIncIns,Strong,Jul16_Aug10,N1GtLIGt_4,StrongUp,None,Some,PartInhibit,Other,Neutral,LessUnstable,Strong,LowMtsHighPl,Clear,LVorOther,Strong,LessThanAve,B
Neutral,CDEJ,Dry,SigPositive,LongAnticyc,ACEFK,XNIL,C,Wet,LittleChange,Cloudy,Strong,MarkedUpper,XNIL,NWQuad,Steep,None,LessUnstable,Neutral,StrongUp,WeakUp,XNIL,None,XNIL,Average,CThruK,Strong,Average,E_W_N,Cloudy,None,Clear,Decreasing,Neutral,StrongUp,StrongUp,DCVZFavor,Steep,LittleChange,Weak,Jun15_Jul1,N5GtLIGt_8,WeakUp,PartInhibit,Marked,None,Other,Neutral,LessUnstable,Weak,LowAtStation,Cloudy,Westerly,None,Average,C
Stability,CDEJ,Neutral,PosToNeg,LongAnticyc,ACEFK,XNIL,C,Dry,LittleChange,PC,None,MarkedUpper,XNIL,AllElse,Stable,Strong,MoreUnstable,Wet,WeakUp,WeakUp,XNIL,Strong,XNIL,MoreThanAve,CThruK,None,Dry,E_W_N,PC,None,PC,Increasing,Neutral,Neutral,WeakUp,Other,CloseToDryAd,LittleChange,Unfavorable,Aug20_Sep15,LIGt0,WeakUp,TotalInhibit,None,PartInhibit,MoistMDryL,StrongPos,MoreUnstable,None,LowAtStation,PC,Westerly,None,MoreThanAve,C
Instability,CDEJ,Neutral,PosToNeg,LV,ACEFK,SIG,E,Neutral,Increasing,Clear,Weak,NoMajor,SIG,LV,Steep,Weak,Average,Neutral,WeakUp,Neutral,SIG,None,SIG,MoreThanAve,CThruK,Strong,Average,MovingFtorOt,PC,None,Clear,Increasing,Neutral,WeakUp,WeakUp,StrongWest,ModerateOrLe,IncCapDecIns,Weak,Jul16_Aug10,N1GtLIGt_4,StrongUp,PartInhibit,Marked,None,Other,Neutral,Average,Strong,LowEvrywhere,PC,Westerly,Strong,Average,E
Neutral,K,Dry,NegToPos,LongAnticyc,ACEFK,XNIL,K,Dry,Decreasing,Clear,None,MarkedUpper,XNIL,AllElse,ModerateOrLe,None,Average,Neutral,StrongUp,Neutral,XNIL,None,XNIL,LessThanAve,CThruK,None,Dry,None,PC,None,Clear,LittleChange,Wet,WeakUp,StrongUp,StrongWest,CloseToDryAd,DecCapIncIns,Weak,Aug20_Sep15,N5GtLIGt_8,StrongUp,PartInhibit,None,Stifling,DryMMoistL,WeakPos,Average,None,HighEvrywher,PC,LVorOther,Slight,Average,K
Stability,ABI,Wet,LittleChange,DenvCyclone,B,SIG,B,Wet,LittleChange,Clear,Weak,NoMajor,XNIL,NWQuad,ModerateOrLe,Weak,LessUnstable,VeryWet,Neutral,StronUp,XNIL,Weak,SIG,LessThanAve,AB,Weak,VeryMoist,DenvCyclone,PC,Other,Clear,Decreasing,Wet,Down,Neutral,DCVZFavor,CloseToDryAd,LittleChange,Weak,May15_Jun14,LIGt0,WeakUp,PartInhibit,Some,PartInhibit,DryMMoistL,Neutral,LessUnstable,None,LowSHighN,Clear,Westerly,None,LessThanAve,B
Stability,ABI,Dry,LittleChange,DenvCyclone,ACEFK,SVR,A,Wet,LittleChange,Clear,Weak,StrongFront,SVR,SWQuad,CloseToDryAd,Weak,LessUnstable,Dry,Neutral,Neutral,SVR,Weak,XNIL,LessThanAve,AB,Strong,VeryMoist,DenvCyclone,Clear,Moving,Clear,Decreasing,Dry,Neutral,Neutral,StrongWest,ModerateOrLe,LittleChange,Moderate,May15_Jun14,N1GtLIGt_4,Neutral,PartInhibit,Some,None,DryMMoistL,Negative,LessUnstable,Strong,LowMtsHighPl,Clear,Westerly,Moderate,LessThanAve,A
Stability,CDEJ,Neutral,SigNegative,LongAnticyc,ACEFK,SVR,C,Neutral,Increasing,Cloudy,Weak,OtherRapid,XNIL,NWQuad,Steep,Weak,Average,Neutral,Neutral,StronUp,XNIL,None,SVR,LessThanAve,CThruK,Strong,Dry,E_W_N,PC,QStationary,Cloudy,LittleChange,Neutral,Down,Neutral,DCVZFavor,CloseToDryAd,IncCapDecIns,Moderate,Jul2_Jul15,N1GtLIGt_4,StrongUp,None,Marked,None,Other,Neutral,Average,Weak,Other,PC,LVorOther,Strong,LessThanAve,C
Neutral,K,VeryWet,PosToNeg,WidespdDnsl,ACEFK,XNIL,K,VeryWet,LittleChange,PC,Weak,MarkedUpper,XNIL,AllElse,ModerateOrLe,Strong,LessUnstable,VeryWet,Neutral,WeakUp,XNIL,Weak,XNIL,MoreThanAve,CThruK,Strong,Average,MovingFtorOt,Clear,Moving,PC,Decreasing,Dry,Neutral,Neutral,Westerly,ModerateOrLe,LittleChange,Moderate,May15_Jun14,N1GtLIGt_4,Down,Stifling,Some,None,DryMMoistL,Negative,LessUnstable,Weak,HighEvrywher,PC,Westerly,Strong,MoreThanAve,K
Stability,G,VeryWet,LittleChange,LV,GJ,SVR,G,VeryWet,Increasing,Clear,Strong,NoMajor,XNIL,LV,CloseToDryAd,Weak,Average,Wet,Down,Down,XNIL,Strong,SVR,MoreThanAve,CThruK,Strong,Dry,DryLine,PC,QStationary,PC,LittleChange,Wet,Down,Down,DCVZFavor,Steep,IncCapDecIns,Weak,Aug20_Sep15,N5GtLIGt_8,Down,Stifling,Marked,PartInhibit,Other,Neutral,Average,Strong,LowAtStation,Clear,LVorOther,None,MoreThanAve,G
Instability,H,VeryWet,SigNegative,SEQuad,HI,XNIL,H,VeryWet,Increasing,Clear,None,MarkedUpper,XNIL,LV,ModerateOrLe,None,Average,VeryWet,WeakUp,Neutral,XNIL,None,XNIL,MoreThanAve,CThruK,None,VeryMoist,MovingFtorOt,PC,None,Clear,LittleChange,Dry,StrongUp,WeakUp,Westerly,ModerateOrLe,IncCapDecIns,Strong,Jun15_Jul1,N5GtLIGt_8,WeakUp,None,None,None,DryMMoistL,WeakPos,MoreUnstable,None,LowMtsHighPl,PC,LVorOther,Strong,LessThanAve,H
Neutral,CDEJ,VeryWet,SigNegative,WidespdDnsl,ACEFK,XNIL,E,Dry,LittleChange,Clear,None,OtherRapid,XNIL,SWQuad,CloseToDryAd,Weak,MoreUnstable,VeryWet,Neutral,Down,XNIL,None,XNIL,LessThanAve,CThruK,None,Average,E_W_N,Clear,None,PC,Increasing,Dry,Neutral,Neutral,DCVZFavor,Steep,LittleChange,Moderate,Aug20_Sep15,N1GtLIGt_4,StrongUp,PartInhibit,None,None,MoistMDryL,Neutral,Average,None,LowMtsHighPl,Clear,Westerly,Slight,LessThanAve,E
Instability,ABI,Wet,LittleChange,E_NE,HI,SVR,I,Dry,Increasing,PC,None,NoMajor,SVR,AllElse,ModerateOrLe,Strong,MoreUnstable,VeryWet,Neutral,Neutral,SVR,Strong,XNIL,MoreThanAve,CThruK,Weak,Average,E_W_S,Cloudy,QStationary,PC,Increasing,VeryWet,Neutral,Neutral,DCVZFavor,ModerateOrLe,IncCapDecIns,Strong,Jul16_Aug10,N5GtLIGt_8,WeakUp,TotalInhibit,Some,Stifling,DryMMoistL,Neutral,MoreUnstable,None,LowSHighN,PC,Westerly,Strong,MoreThanAve,I
Stability,ABI,Dry,SigNegative,DenvCyclone,ACEFK,XNIL,A,Dry,Increasing,PC,Weak,StrongFront,XNIL,SWQuad,ModerateOrLe,Strong,LessUnstable,Neutral,WeakUp,Down,XNIL,Strong,XNIL,MoreThanAve,AB,Strong,Average,E_W_N,PC,Other,Clear,LittleChange,Wet,WeakUp,WeakUp,StrongWest,ModerateOrLe,IncCapDecIns,Weak,May15_Jun14,N1GtLIGt_4,Neutral,Stifling,Marked,PartInhibit,Other,Neutral,Average,Strong,LowSHighN,PC,LVorOther,None,MoreThanAve,A
Stability,ABI,VeryWet,NegToPos,LV,HI,SVR,I,Neutral,LittleChange,PC,Strong,NoMajor,XNIL,SWQuad,Steep,Strong,Average,VeryWet,Neutral,Neutral,XNIL,None,SVR,LessThanAve,CThruK,Strong,Dry,MovingFtorOt,PC,QStationary,Clear,Increasing,Dry,Down,Neutral,Westerly,ModerateOrLe,LittleChange,Moderate,Jul16_Aug10,N1GtLIGt_4,Neutral,PartInhibit,Marked,TotalInhibit,Other,Negative,LessUnstable,Strong,LowSHighN,PC,LVorOther,None,LessThanAve,I
Stability,ABI,Wet,LittleChange,DenvCyclone,B,SIG,B,Neutral,Increasing,Cloudy,Strong,NoMajor,SIG,NWQuad,Steep,Weak,LessUnstable,Wet,Neutral,Neutral,SIG,None,SIG,MoreThanAve,AB,Strong,VeryMoist,DenvCyclone,PC,Other,Cloudy,LittleChange,VeryWet,Neutral,Neutral,Westerly,Steep,IncCapDecIns,Strong,Jul16_Aug10,N1GtLIGt_4,Neutral,None,Marked,None,DryMMoistL,Negative,LessUnstable,Strong,LowMtsHighPl,Cloudy,LVorOther,Strong,LessThanAve,B
Neutral,G,Neutral,LittleChange,LV,GJ,XNIL,G,Neutral,Decreasing,Clear,None,NoMajor,XNIL,LV,CloseToDryAd,None,LessUnstable,Neutral,WeakUp,Neutral,XNIL,None,XNIL,LessThanAve,CThruK,Weak,Dry,None,Clear,None,PC,LittleChange,Neutral,StrongUp,WeakUp,DCVZFavor,CloseToDryAd,DecCapIncIns,Moderate,Jul2_Jul15,N5GtLIGt_8,Neutral,PartInhibit,Some,TotalInhibit,MoistMDryL,Neutral,Average,None,LowAtStation,Clear,LVorOther,None,LessThanAve,G
Stability,ABI,Dry,PosToNeg,DenvCyclone,ACEFK,SVR,A,Wet,LittleChange,Clear,Weak,MarkedUpper,SVR,SWQuad,Stable,Strong,MoreUnstable,Dry,Neutral,Neutral,SVR,Weak,SIG,LessThanAve,AB,Strong,Average,DenvCyclone,PC,None,PC,Increasing,Dry,Down,Neutral,StrongWest,CloseToDryAd,LittleChange,Strong,Jul16_Aug10,N5GtLIGt_8,Neutral,PartInhibit,Some,Stifling,Other,WeakPos,LessUnstable,Strong,LowMtsHighPl,Clear,Westerly,Slight,LessThanAve,A
Instability,ABI,Neutral,LittleChange,DenvCyclone,ACEFK,SVR,A,Dry,LittleChange,Clear,Strong,MarkedUpper,XNIL,SWQuad,ModerateOrLe,Weak,LessUnstable,Neutral,Neutral,Down,XNIL,Weak,SVR,LessThanAve,AB,Strong,Average,DenvCyclone,Clear,Other,Clear,LittleChange,Wet,Neutral,Neutral,Other,Steep,LittleChange,Moderate,Jul16_Aug10,N1GtLIGt_4,WeakUp,None,Some,Stifling,DryMMoistL,WeakPos,LessUnstable,Strong,LowMtsHighPl,Clear,Westerly,Slight,LessThanAve,A
Instability,ABI,Neutral,SigNegative,DenvCyclone,ACEFK,SVR,A,Wet,Decreasing,PC,None,StrongFront,SVR,SWQuad,Steep,Weak,LessUnstable,Neutral,Neutral,Neutral,SVR,Weak,XNIL,LessThanAve,AB,None,Dry,DenvCyclone,Cloudy,Other,Clear,Decreasing,Neutral,Neutral,Neutral,DCVZFavor,CloseToDryAd,DecCapIncIns,Strong,May15_Jun14,N1GtLIGt_4,StrongUp,PartInhibit,None,None,DryMMoistL,Neutral,Average,None,LowMtsHighPl,Clear,Westerly,Strong,Average,A
Neutral,ABI,Neutral,PosToNeg,DenvCyclone,B,XNIL,B,Wet,LittleChange,PC,Weak,OtherRapid,XNIL,SWQuad,Steep,Weak,Average,Neutral,WeakUp,Down,XNIL,Weak,XNIL,LessThanAve,AB,Strong,Average,None,Clear,Moving,PC,Decreasing,Neutral,Neutral,WeakUp,Other,Steep,LittleChange,Moderate,Jun15_Jul1,N1GtLIGt_4,WeakUp,PartInhibit,Some,PartInhibit,Other,Negative,MoreUnstable,Weak,LowSHighN,PC,Westerly,Slight,LessThanAve,B
Stability,H,VeryWet,SigPositive,E_NE,HI,XNIL,H,VeryWet,LittleChange,PC,Weak,OtherRapid,XNIL,LV,Stable,Strong,LessUnstable,VeryWet,StrongUp,StronUp,XNIL,Strong,XNIL,LessThanAve,CThruK,Strong,Average,MovingFtorOt,Cloudy,Moving,PC,LittleChange,Neutral,StrongUp,StrongUp,DCVZFavor,ModerateOrLe,LittleChange,Weak,Jul2_Jul15,N5GtLIGt_8,Neutral,None,Marked,PartInhibit,DryMMoistL,Neutral,LessUnstable,Strong,LowMtsHighPl,Cloudy,Westerly,None,LessThanAve,H
Instability,CDEJ,Neutral,LittleChange,LongAnticyc,ACEFK,SIG,C,Neutral,LittleChange,Clear,Strong,OtherRapid,XNIL,NWQuad,CloseToDryAd,Strong,Average,Neutral,Neutral,Neutral,SIG,None,SIG,Average,CThruK,Strong,Dry,E_W_N,Clear,Other,Clear,Decreasing,Neutral,Neutral,Neutral,DCVZFavor,CloseToDryAd,LittleChange,Strong,Aug20_Sep15,N1GtLIGt_4,Down,None,Marked,None,MoistMDryL,Negative,Average,Strong,LowAtStation,Clear,Westerly,Strong,Average,C
Instability,H,Wet,NegToPos,E_NE,HI,XNIL,H,Neutral,Increasing,Clear,None,NoMajor,XNIL,LV,Stable,None,MoreUnstable,VeryWet,WeakUp,WeakUp,XNIL,None,XNIL,MoreThanAve,CThruK,Weak,VeryMoist,MovingFtorOt,Clear,Moving,PC,Decreasing,VeryWet,Neutral,WeakUp,Other,CloseToDryAd,IncCapDecIns,Unfavorable,Jul16_Aug10,N1GtLIGt_4,WeakUp,PartInhibit,None,Stifling,DryMMoistL,Negative,MoreUnstable,None,HighEvrywher,PC,LVorOther,Slight,Average,H
Neutral,K,Wet,SigPositive,LongAnticyc,ACEFK,SIG,K,Wet,Decreasing,Cloudy,Weak,StrongFront,XNIL,AllElse,ModerateOrLe,Weak,Average,VeryWet,Neutral,Neutral,XNIL,Weak,SIG,Average,CThruK,Weak,Dry,E_W_N,Cloudy,None,Clear,Increasing,Wet,Neutral,Neutral,DCVZFavor,Steep,DecCapIncIns,Weak,Jun15_Jul1,N1GtLIGt_4,WeakUp,Stifling,None,Stifling,DryMMoistL,WeakPos,Average,Weak,Other,Cloudy,LVorOther,None,MoreThanAve,K
Instability,CDEJ,Wet,SigPositive,LongAnticyc,ACEFK,SVR,C,Neutral,LittleChange,Clear,Weak,StrongFront,SVR,AllElse,CloseToDryAd,None,MoreUnstable,VeryWet,StrongUp,StronUp,SVR,None,XNIL,LessThanAve,CThruK,Weak,Average,E_W_N,Cloudy,QStationary,PC,LittleChange,VeryWet,Down,StrongUp,Other,Steep,LittleChange,Strong,Jul2_Jul15,LIGt0,WeakUp,None,None,PartInhibit,MoistMDryL,WeakPos,Average,None,LowAtStation,PC,Westerly,Moderate,LessThanAve,C
Neutral,ABI,Dry,LittleChange,LV,HI,SVR,I,Wet,Increasing,PC,Weak,StrongFront,SVR,SWQuad,CloseToDryAd,None,MoreUnstable,Neutral,Neutral,Neutral,SVR,None,SIG,MoreThanAve,CThruK,Strong,VeryMoist,E_W_S,PC,QStationary,PC,Increasing,Dry,Neutral,Neutral,Other,Steep,IncCapDecIns,Moderate,Jul16_Aug10,N1GtLIGt_4,Down,None,Some,PartInhibit,DryMMoistL,WeakPos,MoreUnstable,None,LowSHighN,PC,LVorOther,Moderate,LessThanAve,I
Instability,H,VeryWet,NegToPos,E_NE,HI,XNIL,H,Neutral,LittleChange,Clear,None,NoMajor,XNIL,NWQuad,Stable,None,Average,Wet,Down,Down,XNIL,None,XNIL,Average,CThruK,None,VeryMoist,Other,PC,Other,Clear,Increasing,Dry,WeakUp,Down,Westerly,CloseToDryAd,LittleChange,Strong,Aug11_Aug20,N1GtLIGt_4,Down,PartInhibit,None,TotalInhibit,DryMMoistL,WeakPos,Average,None,HighEvrywher,Clear,LVorOther,Slight,Average,H
Instability,CDEJ,Neutral,NegToPos,LongAnticyc,ACEFK,SVR,C,Dry,Decreasing,Clear,Strong,StrongFront,SVR,NWQuad,Steep,Weak,MoreUnstable,Neutral,WeakUp,Neutral,SVR,None,SIG,LessThanAve,CThruK,Strong,Dry,E_W_N,Clear,Other,PC,LittleChange,Wet,Neutral,WeakUp,StrongWest,Steep,DecCapIncIns,Weak,Aug20_Sep15,N5GtLIGt_8,StrongUp,PartInhibit,Some,None,Other,WeakPos,MoreUnstable,Strong,LowNHighS,PC,Westerly,Slight,Average,C
Neutral,ABI,Neutral,SigNegative,LV,HI,SIG,I,VeryWet,LittleChange,PC,Strong,NoMajor,XNIL,LV,Steep,Weak,LessUnstable,Neutral,WeakUp,StronUp,XNIL,Weak,SIG,Average,CThruK,Strong,Dry,MovingFtorOt,Clear,QStationary,PC,Decreasing,Dry,Neutral,WeakUp,DCVZFavor,ModerateOrLe,LittleChange,Strong,May15_Jun14,N1GtLIGt_4,WeakUp,PartInhibit,Marked,PartInhibit,DryMMoistL,Neutral,LessUnstable,Strong,LowSHighN,PC,LVorOther,Strong,Average,I
Neutral,ABI,Wet,PosToNeg,DenvCyclone,B,SVR,B,Wet,Increasing,Clear,Strong,MarkedUpper,SVR,NWQuad,Steep,Weak,MoreUnstable,VeryWet,StrongUp,Neutral,SVR,Weak,SIG,LessThanAve,AB,Strong,Dry,DenvCyclone,Clear,Moving,Clear,Increasing,Neutral,StrongUp,StrongUp,Other,Steep,IncCapDecIns,Unfavorable,May15_Jun14,N5GtLIGt_8,StrongUp,None,Marked,PartInhibit,MoistMDryL,Negative,Average,None,HighEvrywher,Clear,LVorOther,None,LessThanAve,B
Stability,CDEJ,Wet,NegToPos,WidespdDnsl,ACEFK,SVR,E,VeryWet,Decreasing,PC,Weak,NoMajor,XNIL,NWQuad,CloseToDryAd,Weak,LessUnstable,VeryWet,StrongUp,Neutral,XNIL,None,SVR,LessThanAve,CThruK,Strong,Average,None,PC,None,Clear,Decreasing,Neutral,StrongUp,StrongUp,StrongWest,ModerateOrLe,DecCapIncIns,Weak,Jul16_Aug10,N1GtLIGt_4,StrongUp,PartInhibit,Some,None,Other,Neutral,LessUnstable,Weak,LowSHighN,Cloudy,LVorOther,Moderate,Average,E
Stability,CDEJ,Neutral,NegToPos,LongAnticyc,ACEFK,SIG,C,Wet,Increasing,PC,None,StrongFront,SIG,NWQuad,CloseToDryAd,Weak,Average,Neutral,Down,WeakUp,SIG,None,XNIL,MoreThanAve,CThruK,Weak,Average,E_W_N,Cloudy,None,Clear,Increasing,Dry,Neutral,Down,DCVZFavor,Steep,IncCapDecIns,Strong,May15_Jun14,N1GtLIGt_4,Down,TotalInhibit,None,TotalInhibit,Other,StrongPos,LessUnstable,None,LowNHighS,PC,Westerly,Slight,MoreThanAve,C
Neutral,ABI,VeryWet,PosToNeg,DenvCyclone,ACEFK,SVR,A,Neutral,Increasing,Clear,None,MarkedUpper,SVR,SWQuad,Stable,None,LessUnstable,Wet,Down,Down,SVR,None,XNIL,Average,AB,None,Average,DenvCyclone,PC,None,Clear,LittleChange,VeryWet,Neutral,Down,Westerly,Steep,IncCapDecIns,Weak,Jul16_Aug10,LIGt0,Down,None,None,None,DryMMoistL,Negative,LessUnstable,None,LowSHighN,Clear,Westerly,Strong,LessThanAve,A
Instability,K,Neutral,PosToNeg,WidespdDnsl,ACEFK,SVR,K,VeryWet,LittleChange,PC,Strong,StrongFront,SVR,AllElse,ModerateOrLe,Weak,MoreUnstable,Wet,WeakUp,Neutral,SVR,Weak,SVR,MoreThanAve,CThruK,Strong,Average,MovingFtorOt,PC,Moving,Clear,Increasing,Neutral,Neutral,WeakUp,Westerly,Steep,LittleChange,Strong,Aug20_Sep15,N1GtLIGt_4,StrongUp,TotalInhibit,Some,PartInhibit,Other,Neutral,Average,Strong,LowNHighS,PC,Westerly,Strong,MoreThanAve,K
Stability,CDEJ,Neutral,LittleChange,E_NE,ACEFK,SIG,E,Neutral,Increasing,PC,Strong,OtherRapid,XNIL,LV,CloseToDryAd,Weak,LessUnstable,Neutral,WeakUp,WeakUp,XNIL,None,SIG,MoreThanAve,CThruK,Strong,Average,E_W_N,PC,None,PC,Increasing,Wet,WeakUp,WeakUp,Westerly,ModerateOrLe,IncCapDecIns,Unfavorable,Jul16_Aug10,N1GtLIGt_4,WeakUp,PartInhibit,Marked,Stifling,MoistMDryL,WeakPos,LessUnstable,Weak,HighEvrywher,Cloudy,LVorOther,None,Average,E
Instability,ABI,Neutral,NegToPos,DenvCyclone,B,SVR,B,Neutral,LittleChange,Clear,Weak,NoMajor,SIG,NWQuad,Stable,Strong,LessUnstable,Wet,WeakUp,WeakUp,SIG,Weak,SVR,MoreThanAve,AB,Strong,VeryMoist,MovingFtorOt,Clear,Other,PC,Decreasing,Wet,StrongUp,WeakUp,DCVZFavor,Steep,LittleChange,Weak,Jul16_Aug10,N1GtLIGt_4,Neutral,TotalInhibit,Marked,PartInhibit,Other,Negative,LessUnstable,Strong,LowMtsHighPl,PC,Westerly,None,MoreThanAve,B
Stability,CDEJ,Neutral,LittleChange,LV,ACEFK,SIG,E,Neutral,Decreasing,PC,Strong,OtherRapid,XNIL,SWQuad,Steep,Strong,MoreUnstable,Wet,WeakUp,StronUp,XNIL,Weak,SIG,Average,CThruK,Strong,Average,None,Cloudy,None,Clear,Increasing,Neutral,Down,WeakUp,StrongWest,ModerateOrLe,DecCapIncIns,Weak,May15_Jun14,N5GtLIGt_8,WeakUp,PartInhibit,Some,PartInhibit,MoistMDryL,StrongPos,MoreUnstable,Strong,LowAtStation,PC,LVorOther,None,Average,E
Instability,G,VeryWet,PosToNeg,LV,GJ,SIG,G,VeryWet,LittleChange,Clear,Weak,OtherRapid,SIG,SWQuad,CloseToDryAd,Weak,MoreUnstable,VeryWet,Neutral,Neutral,SIG,Weak,SIG,MoreThanAve,CThruK,Weak,Dry,None,PC,None,Clear,Increasing,Neutral,Neutral,Neutral,DCVZFavor,Steep,LittleChange,Weak,Jul2_Jul15,N1GtLIGt_4,Neutral,TotalInhibit,Some,Stifling,MoistMDryL,StrongPos,MoreUnstable,None,LowEvrywhere,Clear,LVorOther,Slight,MoreThanAve,G
Instability,CDEJ,Wet,SigNegative,WidespdDnsl,D,SVR,D,Neutral,Decreasing,Cloudy,Strong,MarkedUpper,SIG,NWQuad,Steep,None,MoreUnstable,Neutral,WeakUp,StronUp,SIG,None,SVR,Average,CThruK,Strong,Dry,None,Clear,None,Cloudy,Decreasing,Dry,Neutral,WeakUp,Westerly,Steep,DecCapIncIns,Strong,Jun15_Jul1,N1GtLIGt_4,Neutral,Stifling,Some,None,Other,WeakPos,MoreUnstable,None,LowMtsHighPl,Cloudy,Westerly,Strong,MoreThanAve,D
Stability,F,Dry,PosToNeg,LV,ACEFK,XNIL,F,Dry,Increasing,PC,None,NoMajor,XNIL,AllElse,ModerateOrLe,Weak,LessUnstable,Wet,StrongUp,Neutral,XNIL,Weak,XNIL,LessThanAve,CThruK,None,VeryMoist,None,PC,None,PC,LittleChange,Neutral,StrongUp,StrongUp,DCVZFavor,Steep,IncCapDecIns,Unfavorable,Jul16_Aug10,N1GtLIGt_4,StrongUp,PartInhibit,None,None,Other,Negative,LessUnstable,None,HighEvrywher,Cloudy,LVorOther,Slight,LessThanAve,F
Stability,CDEJ,VeryWet,NegToPos,LongAnticyc,ACEFK,XNIL,C,Neutral,Increasing,Cloudy,None,StrongFront,XNIL,SWQuad,ModerateOrLe,Weak,LessUnstable,VeryWet,Neutral,Neutral,XNIL,Strong,XNIL,MoreThanAve,CThruK,None,Average,E_W_S,PC,Other,Cloudy,LittleChange,Dry,Neutral,Neutral,StrongWest,ModerateOrLe,IncCapDecIns,Unfavorable,May15_Jun14,N1GtLIGt_4,WeakUp,PartInhibit,None,None,Other,Negative,LessUnstable,None,Other,Cloudy,Westerly,None,Average,C
Neutral,G,VeryWet,PosToNeg,WidespdDnsl,GJ,SIG,G,Dry,Increasing,PC,Strong,NoMajor,XNIL,LV,CloseToDryAd,Strong,LessUnstable,Wet,Neutral,WeakUp,XNIL,None,SIG,MoreThanAve,CThruK,Strong,Dry,Other,PC,None,PC,Decreasing,VeryWet,Neutral,Neutral,StrongWest,CloseToDryAd,IncCapDecIns,Weak,Jul2_Jul15,N1GtLIGt_4,Neutral,PartInhibit,Marked,Stifling,MoistMDryL,Negative,Average,Weak,LowAtStation,Clear,Westerly,None,Average,G
Stability,CDEJ,Neutral,SigNegative,SEQuad,D,SIG,D,Dry,Decreasing,Clear,None,OtherRapid,XNIL,NWQuad,CloseToDryAd,Strong,LessUnstable,Wet,WeakUp,Neutral,SIG,Weak,XNIL,LessThanAve,CThruK,None,Average,DryLine,Clear,None,Clear,Increasing,Neutral,Neutral,WeakUp,Westerly,CloseToDryAd,DecCapIncIns,Strong,Aug11_Aug20,LIGt0,StrongUp,PartInhibit,None,TotalInhibit,DryMMoistL,Neutral,LessUnstable,None,LowMtsHighPl,Clear,Westerly,None,Average,D
Neutral,CDEJ,Neutral,LittleChange,SEQuad,GJ,SIG,J,Neutral,Increasing,PC,Weak,NoMajor,XNIL,LV,ModerateOrLe,Weak,MoreUnstable,Wet,WeakUp,Neutral,XNIL,None,SIG,Average,CThruK,Strong,Average,MovingFtorOt,PC,None,PC,Increasing,Dry,StrongUp,WeakUp,StrongWest,Steep,IncCapDecIns,Moderate,May15_Jun14,N1GtLIGt_4,Down,PartInhibit,Marked,PartInhibit,MoistMDryL,WeakPos,LessUnstable,Weak,LowAtStation,Clear,LVorOther,Slight,Average,J
